X,Y,Z
-463,-546,-2
-466,-545,0
-493,-511,0
-524,-474,1
-589,-361,0
-610,-301,0
-637,-189,0
-640,-128,0
-635,-15,0
-605,97,0
-587,146,1
-527,253,0
-493,295,0
-410,376,-1
-367,404,-1
-260,460,0
-149,496,-1
-97,501,-1
11,505,0
63,498,0
172,469,0
220,452,-1
317,396,0
362,362,1
439,279,-1
499,193,-1
525,145,-1
560,39,-1
570,-7,1
579,-112,-1
575,-169,0
554,-279,-1
538,-329,0
489,-428,-1
422,-520,1
387,-560,-1
304,-622,0
256,-653,-1
153,-696,0
103,-711,0
-9,-724,-1
-117,-716,0
-169,-711,-1
-268,-676,-1
-315,-654,0
-405,-597,0
-448,-560,1
-518,-481,-1
-551,-432,-1
-601,-330,0
-630,-225,-1
-638,-165,0
-638,-52,-1
-630,4,0
-603,105,0
-580,161,-1
-519,264,0
-480,309,1
-397,384,0
-297,443,0
-247,466,1
-143,498,0
-89,501,0
25,505,-1
80,494,1
184,466,-1
287,418,0
333,382,-1
408,317,0
442,278,0
504,184,0
529,135,-1
561,34,-1
571,-17,-1
577,-133,0
563,-243,0
552,-292,-1
509,-393,-1
481,-443,0
419,-523,-1
384,-563,0
297,-628,1
247,-658,0
149,-699,1
44,-721,0
-12,-725,0
-115,-720,0
-165,-707,0
-267,-678,0
-317,-649,0
-410,-592,-1
-489,-517,-1
-525,-469,-1
-582,-374,-1
-602,-328,-1
-630,-217,0
-638,-162,0
-636,-46,0
-630,6,-1
-597,119,-1
-542,228,-1
-512,271,-1
-437,350,-1
-393,387,-1
-299,444,0
-252,467,-1
-142,496,-1
-87,504,0
25,501,0
128,487,1
181,469,0
282,420,-1
324,390,0
401,328,0
437,285,0
506,187,0
545,89,0
560,37,0
578,-74,0
577,-130,0
566,-231,0
555,-279,0
514,-386,-1
458,-478,0
426,-516,1
346,-593,0
301,-625,-1
211,-673,0
162,-693,-1
58,-716,-1
6,-724,-1
-98,-723,0
-205,-698,0
-258,-681,-1
-354,-633,-1
-399,-602,-1
-479,-529,-2
-513,-484,-1
-570,-399,-1
-592,-348,0
-627,-234,0
-641,-120,0
-639,-66,-1
-622,49,0
-603,105,-1
-557,206,0
-528,249,-1
-455,335,0
-409,374,-1
-318,433,0
-215,477,0
-161,492,0
-50,504,-1
1,506,-1
105,490,0
160,476,0
264,432,0
348,372,0
390,337,0
468,247,0
496,199,0
540,108,0
556,51,0
578,-61,0
578,-114,1
569,-215,0
539,-325,-2
519,-374,0
466,-468,-1
435,-505,-1
356,-585,-1
317,-616,-1
225,-666,0
173,-690,-1
67,-717,0
-41,-722,0
-97,-723,-1
-204,-699,0
-254,-684,-1
-346,-639,0
-393,-605,0
-476,-532,0
-541,-452,-1
-569,-400,-1
-614,-292,0
-628,-236,0
-641,-130,-1
-639,-78,1
-623,37,-1
-609,86,0
-568,183,-1
-505,279,-1
-468,322,-1
-386,391,-1
-340,424,0
-243,467,0
-188,488,0
-87,504,0
-35,508,1
70,500,-1
183,469,0
231,446,0
326,392,0
369,352,0
447,272,0
477,231,-1
527,137,0
548,87,0
571,-20,0
578,-126,0
575,-175,-1
554,-285,-1
539,-332,-1
492,-423,0
464,-471,0
396,-549,-1
358,-617,0
266,-648,-1
166,-690,-1
116,-706,0
12,-721,-1
-40,-724,-1
-147,-713,0
-196,-702,0
-296,-661,-1
-391,-607,0
-432,-574,0
-507,-494,-1
