X,Y,Z
-235,-472,-1
-236,-472,0
-234,-472,0
-234,-474,-1
-235,-473,0
-235,-473,0
-236,-472,-1
-234,-475,0
-235,-475,0
-237,-475,-1
-237,-475,0
-238,-474,0
-237,-474,0
-236,-475,-1
-237,-474,1
-237,-475,-1
-236,-475,-1
-237,-474,0
-236,-474,0
-242,-472,0
-296,-430,0
-326,-398,-1
-379,-324,0
-412,-246,-1
-423,-200,0
-433,-117,-1
-430,-73,0
-410,10,0
-395,50,-1
-349,127,0
-289,189,0
-256,214,-1
-179,256,-1
-139,266,0
-60,279,0
-17,280,-1
64,268,0
105,259,0
187,216,0
250,163,0
279,134,0
329,61,-1
345,21,0
369,-64,0
374,-107,0
371,-192,0
363,-237,0
336,-315,-1
289,-387,0
263,-417,-1
199,-470,-1
161,-492,1
88,-522,0
51,-528,-1
-32,-535,-1
-73,-532,-1
-157,-509,-1
-234,-476,0
-269,-447,0
-334,-389,-1
-360,-354,0
-398,-276,0
-414,-238,0
-428,-155,0
-427,-66,0
-421,-27,0
-391,57,-1
-370,98,0
-315,164,0
-282,197,0
-209,241,-2
-172,259,1
-90,279,0
-11,280,1
33,277,0
117,253,0
154,234,-1
229,185,0
259,152,0
311,88,0
333,49,-1
362,-31,1
375,-117,1
375,-159,-1
362,-242,1
349,-283,0
310,-360,1
285,-391,-1
225,-450,0
193,-475,0
121,-509,0
39,-530,0
-2,-536,0
-86,-527,-1
-129,-522,0
-207,-490,-1
-247,-465,1
-312,-412,-1
-365,-346,0
-384,-308,1
-416,-231,-1
-425,-181,-1
-431,-96,-1
-425,-55,0
-401,34,-1
-384,70,0
-335,144,0
-276,202,0
-242,223,-1
-162,262,0
-124,270,-1
-37,280,0
8,279,0
89,259,0
131,247,0
207,201,-2
268,142,0
295,111,-1
340,37,-1
355,-3,0
374,-91,-1
376,-132,0
367,-219,-1
356,-265,0
322,-338,0
275,-404,-1
247,-433,0
183,-478,0
144,-501,-1
69,-524,0
27,-533,0
-59,-535,-1
-141,-517,-1
-182,-502,1
-252,-463,0
-286,-434,0
-346,-372,0
-367,-338,0
-405,-262,-1
-416,-219,-1
-431,-131,1
-423,-41,0
-412,3,-1
-378,81,0
-354,117,0
-301,181,-1
-264,207,-1
-196,247,1
-159,261,-1
-72,279,-1
14,279,-1
59,268,0
138,242,0
174,224,-1
244,167,-1
274,142,1
321,71,-1
355,-7,0
366,-47,-1
375,-143,1
373,-183,0
355,-265,0
340,-303,-1
300,-372,0
274,-405,0
212,-461,1
145,-498,1
102,-515,0
19,-532,0
-24,-536,0
-109,-524,-1
-146,-516,0
-221,-481,1
-259,-456,-1
-320,-404,-1
-370,-332,1
-391,-296,0
-420,-213,0
-427,-165,-1
-429,-79,0
-421,-36,-1
-397,48,-1
-379,81,-1
-327,152,0
-265,209,0
-229,230,0
-149,265,0
-108,275,0
-22,280,-1
22,278,0
104,256,-1
183,216,-1
215,197,-1
276,134,0
304,101,0
344,25,-1
359,-17,0
375,-102,0
375,-145,0
363,-232,0
340,-306,0
321,-341,-1
273,-406,0
245,-434,0
174,-485,0
136,-502,-1
62,-526,-1
18,-532,-1
-64,-530,0
-146,-514,1
-184,-498,0
-252,-459,0
-285,-435,-1
-347,-370,0
-373,-334,0
-408,-254,-1
-420,-212,0
-430,-126,-1
-422,-38,-1
-412,6,-1
-378,83,0
-356,118,0
-300,182,0
-264,209,0
-188,253,-1
-148,277,-1
-63,280,1
23,278,-1
65,267,-1
144,240,-1
179,220,0
248,165,-1
278,137,-1
325,62,-1
358,-18,-1
369,-55,0
376,-147,0
371,-182,1
354,-267,0
337,-308,1
298,-373,-1
270,-409,-1
208,-463,-1
136,-502,0
93,-519,0
17,-532,-1
-26,-536,0
-105,-525,0
-143,-516,1
-222,-482,-1
-258,-456,1
-322,-401,-1
-375,-330,-1
-393,-290,-1
-420,-209,0
-426,-163,-1
-429,-82,-1
-421,-39,0
-396,47,-1
-353,121,0
-324,157,0
-262,211,-1
-223,235,0
-139,270,0
-102,276,-1
-14,282,-1
26,276,-1
108,253,-1
189,215,0
220,188,0
280,129,0
307,94,0
346,19,0
358,-20,0
375,-102,0
376,-140,0
366,-228,0
338,-307,-1
319,-343,1
270,-408,0
242,-436,0
173,-485,0
136,-504,-1
60,-526,-1
-20,-533,0
-60,-532,0
-145,-513,0
-184,-501,0
-257,-457,0
-291,-431,0
-350,-368,0
-372,-330,0
-410,-251,0
-428,-167,-1
-430,-124,-1
-423,-39,0
-412,6,-1
-373,89,0
-350,126,-1
-291,189,0
-256,215,0
-183,256,-1
-99,278,-1
-58,280,-1
25,276,0
70,266,-1
149,235,0
187,214,0
254,158,0
280,132,0
328,59,-1
359,-20,0
369,-62,-1
375,-147,1
373,-188,0
351,-272,0
335,-314,-1
292,-383,0
237,-440,1
206,-465,-1
136,-504,-1
96,-519,1
15,-534,0
-28,-534,-1
-110,-526,-1
-147,-512,-1
-229,-476,-1
-297,-427,-1
-327,-393,-1
-374,-326,0
-393,-291,0
-421,-205,-1
-429,-163,-1
-429,-75,0
-421,-30,0
-393,52,-1
-346,130,0
-316,165,0
-248,222,-1
-208,240,0
-129,270,-1
-88,278,-1
3,278,-1
84,265,0
124,247,0
198,210,-1
229,181,1
288,120,0
309,87,0
349,12,-1
362,-28,-1
375,-115,1
369,-203,-1
362,-240,0
332,-319,0
312,-354,0
261,-417,0
232,-443,0
167,-487,0
130,-507,0
49,-528,-2
-37,-533,0
-77,-531,0
-158,-510,0
-196,-495,0
-270,-450,-1
-303,-418,-1
-355,-357,-1
-379,-320,0
-412,-239,0
-430,-151,0
-430,-104,-1
-418,-17,-1
-406,22,0
-365,103,0
-343,136,-1
-279,198,-1
-208,242,0
-169,259,0
-82,277,1
-39,283,0
48,272,0
90,262,-1
166,231,-1
200,204,-1
264,151,-1
316,83,-1
335,43,-1
364,-37,0
371,-83,0
375,-169,-1
370,-208,0
346,-289,0
330,-323,0
287,-389,0
224,-450,0
197,-472,0
119,-508,-1
79,-522,0
-2,-532,-1
-47,-535,0
-127,-521,0
-163,-510,-1
-239,-473,-1
-305,-418,1
-335,-386,0
-384,-313,0
-401,-273,0
-425,-187,0
-430,-140,0
-425,-50,0
-403,31,-1
-385,73,0
-334,144,0
-304,179,-1
-234,229,0
-196,248,0
-115,274,0
-73,278,0
16,278,-1
96,261,-1
133,243,0
203,201,0
237,176,0
295,107,-1
320,76,-1
354,-4,-1
366,-46,0
376,-128,0
368,-215,-1
358,-254,0
327,-325,0
306,-363,-1
255,-423,-1
222,-452,0
151,-498,-1
115,-509,-1
31,-531,0
-50,-534,0
-91,-526,-1
-170,-506,0
-206,-488,-1
-279,-439,1
-311,-412,0
-366,-342,1
-404,-260,0
-417,-223,-1
-429,-134,-1
-430,-91,-1
-414,-6,0
-399,40,0
-360,111,-1
-331,149,0
-265,209,0
-192,249,-1
-149,266,0
-66,281,0
-25,280,0
61,270,0
102,256,-1
168,226,0
183,215,-1
140,238,0
35,262,0
-35,267,0
-148,263,0
-181,258,0
-252,225,0
-288,196,0
-360,109,-1
-385,68,0
-403,25,-1
-407,20,0
-403,26,0
-387,68,0
-370,102,-1
-313,171,-1
-283,200,-1
-214,246,-1
-131,278,0
-89,287,-1
-4,293,-1
41,284,0
120,264,0
158,245,0
235,196,0
267,165,0
325,90,0
364,11,0
378,-32,-1
390,-126,0
389,-166,-1
372,-253,0
360,-292,0
321,-364,0
295,-402,0
228,-462,-1
154,-505,0
115,-522,0
35,-538,0
-118,-527,0
-121,-528,0
-101,-534,-1
-55,-538,1
67,-538,0
169,-502,0
208,-479,-1
279,-424,0
314,-382,-1
360,-299,0
377,-258,0
391,-167,0
392,-121,0
375,-15,0
332,79,-1
301,122,0
228,197,0
185,224,0
88,267,-1
44,275,0
-45,283,-1
-97,268,0
-186,250,0
-268,203,1
-302,178,0
-361,106,0
-385,66,0
-418,-23,-1
-426,-69,0
-428,-159,0
-408,-253,-1
-389,-304,-1
-330,-391,0
-300,-429,-1
-223,-484,-1
-180,-505,-1
-81,-539,-2
-26,-541,-1
61,-537,-1
155,-510,0
202,-482,0
283,-420,-1
313,-382,0
360,-303,-1
376,-261,0
390,-190,1
391,-169,0
388,-177,0
384,-261,0
382,-304,-1
