X,Y,Z
412,-262,-1
410,-267,0
407,-277,0
386,-348,0
366,-393,-1
310,-477,0
263,-529,1
239,-547,-1
168,-596,0
130,-618,-1
53,-641,-1
11,-652,0
-72,-657,0
-156,-649,0
-194,-642,-1
-270,-612,-1
-312,-593,-1
-388,-543,0
-421,-514,0
-479,-447,0
-504,-408,-1
-543,-327,0
-569,-243,0
-575,-195,0
-578,-106,0
-571,-56,0
-549,33,-1
-532,73,-1
-490,149,0
-433,219,-1
-401,249,-1
-334,299,-1
-298,315,-1
-217,347,-1
-170,356,1
-79,363,1
14,353,0
59,342,-2
146,306,0
183,287,0
255,230,0
285,201,0
342,125,0
366,43,255
399,-1,-1
419,-91,0
422,-139,0
418,-228,-1
410,-273,-1
385,-350,-1
369,-388,-1
326,-463,0
269,-523,0
237,-553,0
165,-600,-1
128,-619,0
50,-645,0
12,-650,0
-71,-658,-1
-157,-651,0
-199,-639,-2
-283,-610,0
-321,-586,0
-397,-536,0
-459,-473,0
-486,-435,0
-531,-360,-1
-546,-316,-1
-570,-229,0
-576,-183,0
-577,-92,-1
-560,1,0
-544,49,-1
-506,125,-1
-483,162,0
-427,226,0
-395,254,-1
-323,304,-1
-245,337,-1
-202,353,-1
-107,364,0
-58,364,0
31,354,0
73,338,0
158,302,0
229,252,0
264,221,0
324,150,-1
351,114,0
391,23,-1
406,-67,0
420,-108,-2
421,-200,0
415,-241,-1
395,-323,0
380,-365,0
340,-438,0
313,-476,-1
254,-538,-1
186,-587,-1
148,-608,0
72,-639,0
30,-647,0
-51,-660,0
-93,-656,0
-183,-645,-1
-268,-616,0
-306,-595,-1
-381,-546,1
-416,-517,0
-477,-445,-1
-504,-413,-1
-541,-334,-1
-567,-240,0
-576,-194,-1
-576,-98,0
-571,-53,0
-547,34,0
-529,81,-1
-488,152,-2
-463,187,54
-403,249,-1
-328,299,-1
-286,324,0
-204,350,-2
-159,360,-1
-63,364,-1
29,350,-1
70,341,0
150,303,0
191,282,0
267,219,0
299,185,-1
351,111,-1
391,22,-1
406,-22,-1
420,-112,0
423,-153,0
416,-242,-1
406,-287,0
379,-370,0
335,-445,-1
312,-480,0
248,-543,0
214,-568,0
146,-609,-1
109,-628,0
27,-649,0
-60,-658,0
-102,-657,-1
-191,-641,0
-235,-630,-1
-319,-589,0
-357,-568,0
-422,-512,1
-483,-441,0
-509,-403,1
-547,-318,0
-560,-274,0
-576,-178,-1
-577,-128,-1
-570,-35,-1
-542,49,-1
-524,90,0
-481,162,-1
-451,199,-1
-387,259,-1
-349,288,1
-266,330,0
-178,354,0
-135,362,-1
-47,363,0
0,360,0
90,334,1
170,292,0
208,270,0
283,201,0
316,165,0
364,88,0
383,44,-1
411,-41,0
423,-134,-1
423,-178,0
413,-264,0
401,-310,0
366,-392,0
344,-431,0
295,-497,-1
233,-554,0
197,-581,-1
126,-619,-1
84,-634,0
0,-654,1
-44,-658,0
-134,-654,-1
-220,-635,-1
-261,-618,0
-342,-578,0
-377,-550,-1
-443,-493,0
-471,-456,0
-521,-374,0
-541,-330,-1
-567,-237,0
-578,-145,0
-577,-99,-1
-561,-9,-1
-549,31,-1
-513,110,0
-491,147,-1
-432,218,-1
-363,279,-2
-325,300,0
-242,337,0
-199,351,0
-111,363,0
-66,366,0
20,352,0
110,324,0
152,306,0
234,249,-1
268,220,-1
330,147,-1
354,106,0
393,24,0
405,-64,254
422,-114,0
421,-203,0
415,-251,0
392,-339,-1
374,-378,0
332,-452,0
308,-480,-1
249,-542,-1
181,-593,-1
143,-609,-1
62,-641,-1
17,-650,-1
-69,-657,0
-114,-656,0
-199,-639,0
-282,-608,0
-322,-590,-2
-391,-537,-1
-427,-509,0
-488,-435,0
-512,-396,0
-551,-310,1
-571,-219,-1
-577,-173,0
-552,21,0
-553,17,-1
-555,7,0
-573,-80,0
-576,-188,-1
-570,-240,-2
-545,-331,0
-526,-376,0
-474,-471,1
-441,-510,0
-367,-579,-1
-282,-635,0
-234,-653,-1
-161,-676,-1
-92,-667,-1
-31,-665,0
-15,-668,-1
4,-663,-1
-2,-667,-1
38,-660,27
124,-636,0
170,-619,-1
257,-563,0
296,-528,-1
361,-451,-1
389,-403,-1
427,-307,-1
446,-206,-1
447,-146,0
431,-34,-1
414,18,5
371,109,0
343,145,0
279,222,0
196,287,1
152,307,0
65,339,-1
13,350,-1
-88,353,0
-136,352,0
-227,331,0
-270,315,-1
-353,266,-1
-424,203,0
-453,170,-1
-507,86,0
-528,40,-1
-555,-52,0
-562,-101,0
-561,-196,0
-543,-293,-1
-529,-345,-1
-484,-434,0
-456,-478,0
-382,-552,0
-341,-579,-1
-254,-630,0
-160,-660,0
-110,-668,-1
-9,-670,0
44,-658,-1
144,-630,0
191,-606,-1
272,-549,0
344,-475,-1
368,-439,0
411,-354,-1
427,-306,-1
447,-201,-1
446,-150,0
434,-49,-1
421,-3,0
376,97,0
316,182,0
280,219,-1
201,278,-1
157,305,0
60,341,0
9,353,0
-91,356,0
-188,341,0
-234,329,-1
-319,288,0
-359,262,1
-426,200,1
-459,161,-1
-512,73,0
-547,-20,0
-557,-71,0
-563,-165,-1
-559,-216,0
-538,-314,0
-521,-355,0
-475,-443,0
-445,-485,0
-371,-558,0
-286,-613,-1
-240,-633,-1
-142,-662,0
-92,-671,-1
10,-667,1
56,-659,-1
151,-628,-1
243,-575,0
284,-541,-1
352,-466,0
380,-422,-1
422,-327,-1
436,-275,1
449,-175,-1
438,-70,-1
425,-14,0
383,89,0
357,131,0
295,209,0
255,240,-1
169,299,0
76,337,0
29,346,0
-71,358,0
-123,353,-1
-217,334,0
-261,317,0
-344,269,0
-419,207,0
-451,170,1
-502,96,0
-522,51,0
-552,-50,0
-564,-148,0
-563,-197,0
-544,-294,-1
-527,-343,-1
-480,-436,0
-453,-472,0
-384,-546,0
-297,-610,-1
-249,-631,-1
-154,-660,-1
-109,-665,-1
-5,-669,0
48,-659,1
138,-630,-1
225,-588,-1
269,-554,0
344,-477,0
372,-434,0
416,-345,0
430,-296,0
446,-189,0
443,-86,0
431,-38,-1
394,65,0
367,113,-1
301,198,-1
266,230,-1
184,291,0
86,335,0
39,345,0
-55,357,0
-103,353,-1
-205,337,-1
-251,323,-1
-334,277,0
-408,217,0
-440,185,1
-497,104,0
-516,67,1
-547,-24,-1
-559,-76,-2
-562,-179,-2
-558,-231,0
-534,-326,0
-491,-416,0
-464,-463,0
-397,-534,0
-360,-566,-1
-270,-622,0
-220,-639,0
-120,-665,0
-20,-670,0
30,-663,0
129,-636,0
175,-614,-2
258,-561,0
296,-530,0
362,-447,0
411,-354,0
429,-306,0
447,-203,0
448,-155,0
434,-51,0
423,0,-1
381,96,-1
353,143,0
282,225,-1
197,285,-1
154,315,0
57,350,-1
7,360,-1
-91,369,-1
-140,362,0
-239,339,1
-333,299,0
-378,268,1
-451,205,0
-483,166,-1
-540,78,0
-561,33,-1
-591,-67,-1
-602,-173,0
-599,-228,0
-577,-340,0
-557,-391,0
-506,-490,-1
-471,-531,-1
-395,-608,0
-301,-671,-1
-246,-689,-1
-138,-717,-1
-81,-721,-1
33,-712,-1
87,-702,-1
187,-657,1
276,-600,1
316,-562,0
386,-473,-1
414,-426,0
454,-317,-1
469,-205,0
469,-150,0
450,-45,0
436,2,-1
388,98,0
358,140,-1
285,217,0
206,276,-1
159,299,0
62,335,-1
16,346,-1
-78,350,-2
-123,349,0
-216,327,0
-305,287,0
-344,264,0
-417,201,0
-450,167,0
-501,84,0
-523,39,0
-548,-48,0
