X,Y,Z
82,256,0
82,254,-1
89,254,-1
154,229,0
202,198,0
270,135,0
325,52,-1
343,4,-1
365,-101,-1
364,-150,-1
345,-251,-1
324,-301,0
273,-378,-1
242,-441,0
162,-469,0
67,-501,0
21,-511,-1
-76,-504,0
-125,-492,0
-210,-452,-1
-249,-421,0
-313,-358,0
-361,-279,0
-377,-229,0
-394,-137,0
-395,-88,-2
-379,7,-1
-363,48,-1
-317,123,-1
-289,158,-1
-216,215,0
-132,255,0
-85,268,0
16,268,-1
65,264,0
157,228,-1
197,201,-1
269,135,0
301,89,0
347,-5,-1
365,-108,-1
363,-163,0
340,-267,-1
318,-311,0
264,-391,0
229,-423,0
145,-475,0
97,-495,0
2,-507,1
-95,-498,0
-143,-486,1
-227,-438,0
-261,-414,0
-324,-345,0
-348,-302,-1
-383,-214,0
-392,-165,0
-393,-68,-1
-371,23,-1
-354,68,1
-305,142,0
-273,173,-1
-201,227,-1
-160,245,-1
-68,267,0
-18,272,0
81,256,0
172,218,0
213,191,0
282,117,0
311,75,-1
351,-18,0
360,-71,0
362,-181,0
333,-283,-1
309,-329,1
251,-403,-1
215,-437,-1
129,-485,0
85,-497,0
-14,-508,-1
-65,-502,-1
-158,-476,0
-242,-429,-2
-277,-398,-1
-335,-321,-1
-359,-283,0
-387,-191,1
-394,-145,-1
-390,-45,0
-378,3,0
-343,85,0
-289,155,0
-257,187,0
-183,235,0
-138,252,-1
-40,272,0
6,270,0
102,250,0
147,231,0
230,173,1
297,97,-1
322,53,-1
356,-43,-1
364,-92,0
357,-201,0
344,-250,1
301,-342,-1
270,-380,-1
196,-445,0
113,-487,0
67,-500,1
-29,-506,-1
-79,-502,0
-176,-469,-1
-217,-448,-1
-289,-384,-1
-321,-346,0
-366,-266,0
-392,-173,0
-396,-125,0
-386,-28,-1
-372,19,0
-332,101,-1
-302,141,0
-235,203,0
-198,243,-1
-112,261,0
-16,272,0
33,267,-1
129,241,0
172,214,-1
251,153,0
284,114,0
332,29,0
360,-66,-1
364,-121,0
351,-225,0
338,-273,-1
285,-362,0
255,-397,-1
178,-459,0
135,-478,0
46,-504,0
-52,-505,0
-102,-495,0
-193,-458,0
-233,-435,-1
-305,-367,-1
-332,-330,-1
-372,-245,-1
-386,-201,0
-395,-107,0
-383,-10,-1
-366,33,0
-319,118,-1
-292,157,0
-222,211,1
-183,235,0
-95,264,0
-48,269,1
50,265,-1
146,234,-1
191,204,0
268,135,0
298,92,-1
343,-1,-1
358,-48,0
363,-155,0
356,-206,0
322,-304,-1
263,-391,0
226,-425,0
144,-473,-1
100,-494,-1
7,-509,0
-41,-508,0
-137,-487,0
-224,-441,0
-263,-411,0
-327,-339,-1
-349,-297,0
-384,-209,-1
-392,-162,-1
-393,-67,0
-386,-24,0
-351,71,1
-296,150,-1
-264,180,-1
-189,231,-1
-146,250,-1
-52,268,-1
-5,272,-1
90,253,-1
138,235,0
227,179,-1
295,98,1
322,53,-1
355,-41,-1
363,-95,0
358,-199,-1
346,-249,0
299,-345,-1
270,-382,0
191,-449,0
103,-493,0
56,-502,-1
-42,-506,0
-91,-499,0
-184,-463,0
-228,-440,1
-301,-371,0
-328,-334,-1
-373,-248,-1
-394,-156,0
-396,-112,0
-385,-17,-1
-370,25,0
-326,112,0
-295,150,1
-225,209,0
-185,234,0
-97,262,0
-6,271,-1
43,267,0
138,234,0
185,209,-1
264,141,-1
295,98,0
344,6,0
356,-93,-1
365,-148,0
347,-245,-1
327,-296,-1
270,-384,0
232,-419,0
146,-477,-1
101,-491,0
6,-507,-1
-88,-502,-1
-134,-485,1
-223,-442,-1
-263,-410,0
-327,-336,-1
-352,-295,0
-385,-200,0
-393,-157,-1
-393,-62,0
-369,31,-1
-350,73,-1
-294,154,1
-258,184,0
-179,236,1
-133,253,-1
-42,270,-1
5,272,-1
100,250,-1
191,206,0
232,175,-1
299,95,-1
327,50,-1
357,-49,-1
364,-103,-1
357,-204,-1
343,-256,0
299,-346,-2
229,-421,0
188,-454,-1
98,-494,-1
49,-504,0
-48,-508,-1
-92,-499,0
-184,-467,0
-261,-413,0
-297,-375,0
-353,-295,-1
-373,-246,-1
-392,-153,-1
-398,-108,0
-383,-12,0
-371,27,-1
-326,111,0
-262,183,0
-225,210,0
-138,251,0
-93,265,-1
2,270,0
51,266,-1
144,233,0
188,208,0
269,137,0
329,45,-1
346,-7,0
364,-108,0
364,-164,0
340,-264,0
320,-310,0
262,-391,-1
225,-425,0
139,-480,-1
44,-505,-1
-6,-507,1
-104,-495,0
-149,-482,-1
-232,-435,1
-270,-405,-1
-332,-328,0
-358,-285,-1
-388,-193,-1
-396,-95,-1
-390,-50,1
-367,39,0
-347,81,0
-291,155,-1
-257,187,-1
-174,239,0
-130,254,-1
-32,271,0
63,263,0
109,246,0
195,202,0
237,168,-1
306,85,-1
330,40,1
359,-64,-1
366,-117,-1
353,-222,0
317,-317,-1
290,-356,-1
218,-431,-1
176,-460,0
82,-496,-1
32,-508,0
-67,-504,0
-115,-475,0
-203,-457,0
-278,-395,0
-311,-360,0
-362,-277,-1
-378,-229,-1
-396,-135,-2
-395,-82,-1
-377,8,-1
-341,90,-1
-312,129,0
-248,195,-1
-209,223,0
-121,258,1
-72,269,1
25,269,0
73,259,0
161,224,-1
243,164,-1
278,123,-1
332,31,-1
351,-19,0
365,-125,0
361,-177,-1
335,-279,0
314,-320,-1
252,-399,0
172,-463,0
127,-480,-1
29,-506,0
-19,-509,0
-117,-491,-1
-161,-476,0
-246,-426,0
-280,-394,-1
-341,-318,0
-379,-228,0
-390,-180,0
-395,-81,0
-387,-33,-1
-360,54,0
-336,97,0
-277,170,-1
-243,199,0
-161,245,0
-68,270,-1
-18,272,-1
81,258,0
125,240,0
211,191,0
249,156,-1
312,72,0
352,-24,-1
362,-77,-1
360,-185,-1
348,-239,-2
308,-332,-1
280,-368,0
211,-438,0
170,-463,-1
78,-498,0
-24,-507,-1
-74,-502,-1
-167,-473,0
-210,-452,-1
-284,-391,-1
-316,-355,0
-362,-274,-1
-379,-226,0
-395,-128,-1
-388,-32,0
-376,16,0
-335,100,1
-306,138,0
-241,203,0
-200,225,-1
-113,260,-1
-61,271,0
43,267,-1
136,236,-1
179,213,0
259,148,0
290,107,-1
339,15,0
356,-35,-1
366,-140,0
359,-197,-1
327,-296,0
270,-381,-1
236,-417,0
154,-472,-1
106,-489,-1
3,-508,-1
-50,-506,0
-144,-484,0
-231,-436,-1
-267,-407,0
-329,-335,-1
-352,-296,0
